,USD_INR_Rate,WTI_Price_USD,BRENT_Price_USD,WTI_Price_INR,BRENT_Price_INR,Oil_Spread_USD,Oil_Spread_INR,NIFTY50_Price,NIFTY100_Price,NIFTY500_Price,SENSEX_Price,NIFTYBANK_Price
count,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0,2125.0
mean,73.56776254811007,64.30215063521442,69.01223057197122,4797.633461303103,5142.407170755408,4.710079936756808,344.77370945230365,14152.665251378676,14399.226905790441,12235.590489889706,47132.70255882353,32111.98160891544
std,6.888345600317214,17.73708884527112,17.723320381318626,1623.5351774354835,1638.859343398142,2.573000955331928,187.4906847590359,4860.812771332411,4985.009219128542,4649.94427400173,16202.409729046538,10068.298291075198
min,61.35100173950195,-37.630001068115234,19.329999923706055,-2880.9527899047825,1492.469276412201,-1.0,-62.05799865722656,6970.60009765625,7058.85009765625,5816.4921875,22976.0,13555.54296875
25%,67.84500122070312,51.630001068115234,56.130001068115234,3513.835965978942,3759.903826640075,3.0,215.22006282699294,10331.599609375,10672.0,8894.1884765625,33819.5,24278.869140625
50%,73.48999786376953,63.459999084472656,68.87999725341797,4417.331496490864,4864.057706095919,4.239997863769531,327.9612121582031,11922.7001953125,12031.2001953125,9781.3876953125,40412.5703125,30565.14453125
75%,81.23979949951172,75.66999816894531,80.27999877929688,6156.850988408551,6498.0636477007065,5.970001220703125,433.9856672550086,17759.30078125,17924.30078125,15180.7802734375,59806.28125,39894.69921875
max,85.41339874267578,123.69999694824219,127.9800033569336,9534.895085660391,9864.801416134287,63.20000076293945,4838.591904113768,26216.05078125,27256.25,24496.900390625,85836.1171875,54375.3515625
