Price,Close,High,Low,Open,Volume
Ticker,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
Date,,,,,
2015-01-01,8295.5498046875,8305.599609375,8259.5,8280.5498046875,992000
2015-01-02,8399.900390625,8416.4501953125,8300.4501953125,8300.4501953125,1670100
2015-01-05,8383.349609375,8453.349609375,8370.7998046875,8411.75,1764200
2015-01-06,8133.89990234375,8331.650390625,8119.39990234375,8331.650390625,2539000
2015-01-07,8112.35009765625,8160.0498046875,8070.0,8127.35009765625,2391600
2015-01-08,8248.7998046875,8254.400390625,8181.2001953125,8200.2001953125,2226900
2015-01-09,8288.9501953125,8317.25,8209.7001953125,8300.599609375,2323400
2015-01-12,8327.0498046875,8334.9501953125,8254.0,8295.9501953125,1640600
2015-01-13,8305.2998046875,8362.7001953125,8275.25,8350.7998046875,2061300
2015-01-14,8286.4501953125,8335.9501953125,8247.400390625,8315.5,2327900
2015-01-15,8486.2001953125,8519.400390625,8391.7998046875,8428.650390625,3318200
2015-01-16,8512.0,8525.0498046875,8448.599609375,8496.150390625,2566100
2015-01-19,8548.2998046875,8570.900390625,8534.400390625,8545.2001953125,1926100
2015-01-20,8673.099609375,8684.9501953125,8573.099609375,8573.099609375,2303400
2015-01-21,8705.0,8719.4501953125,8666.099609375,8697.7998046875,2822800
2015-01-22,8734.599609375,8749.150390625,8698.349609375,8718.849609375,2567900
2015-01-23,8811.650390625,8834.150390625,8765.900390625,8801.25,3031600
2015-01-27,8881.0,8893.599609375,8799.650390625,8844.650390625,2762700
2015-01-28,8893.2998046875,8958.400390625,8854.099609375,8873.400390625,2870000
2015-01-29,8924.2998046875,8935.849609375,8843.2001953125,8881.400390625,3701100
2015-01-30,8794.9501953125,8969.650390625,8762.7001953125,8968.9501953125,3869200
2015-02-02,8798.2001953125,8831.7001953125,8748.349609375,8791.400390625,3083900
2015-02-03,8751.2998046875,8838.7001953125,8729.9501953125,8825.599609375,3063700
2015-02-04,8713.9501953125,8785.5,8694.849609375,8784.0498046875,3029600
2015-02-05,8688.4501953125,8812.849609375,8661.7998046875,8722.4501953125,2731800
2015-02-06,8637.75,8705.0498046875,8624.0498046875,8677.400390625,2629000
