,alpha,beta,sigma_eps,r2
IOC,0.013893317121878813,0.05441974616917623,0.08687951289142681,0.003619508877440225
ONGC,0.0052304061391678916,0.39892219465756906,0.0805617409909023,0.18501762143381895
BPCL,0.016569704863678925,0.05125988748987548,0.0924373185894494,0.0028390434964056244
RELIANCE,0.014463831957044879,0.1535168581002381,0.07478653358736824,0.037548313797586275
