Date,IOC,ONGC,BPCL,RELIANCE
2014-02-28,,,,
2014-03-31,,,,
2014-04-30,,,,
2014-05-31,,,,
2014-06-30,,,,
2014-07-31,,,,
2014-08-31,,,,
2014-09-30,,,,
2014-10-31,,,,
2014-11-30,,,,
2014-12-31,,,,
2015-01-31,0.37581227552755914,0.795935211886163,0.5376253170635912,0.3756697136437249
2015-02-28,0.18089481516652592,0.3530084634413129,0.30727121769935056,0.14052555044039738
2015-03-31,0.10356748262345651,0.36236698748471896,0.2559083940393392,0.12164846656056819
2015-04-30,0.043058871404797416,0.2777753596778323,0.0420303915654797,0.22547743142166718
2015-05-31,-0.12906366829421978,0.25303921390994216,0.016619030424317283,0.1967943746895629
2015-06-30,-0.06947045017885806,0.17822991815673409,-0.04051675267727076,0.2117749814757347
2015-07-31,-0.21180558972408864,0.3002230631270447,-0.05839901911880699,0.19680047042230842
2015-08-31,-0.30772340379811347,0.18612691421974153,-0.14283979542883313,0.032764528373461436
2015-09-30,-0.28909920860963123,0.17600658378042328,-0.12667519921078021,0.011853661204735412
2015-10-31,-0.3011119812588528,0.2526429820673828,-0.0971849699526014,0.09819927380175346
2015-11-30,-0.3583769780449739,0.2217196516076021,-0.09579018416180951,0.08147944680548294
2015-12-31,-0.6856340695891667,0.028502058996393582,-0.39820842581706667,-0.15110952596357172
2016-01-31,-0.5804196347256266,0.06977999219001477,-0.4081067004571263,-0.14816708526802647
2016-02-29,-0.5615512651785431,0.06985731454640513,-0.43755419143175095,-0.05332777098289972
2016-03-31,-0.35639291022762465,0.21726982333340475,-0.0709986563012747,0.0026315325823387235
2016-04-30,-0.0031772947186451857,0.26049326875949547,0.24462904685710532,-0.23068382402867807
2016-05-31,-0.04034000097569726,0.2722685451687729,0.2393030648687984,-0.24820325997224466
2016-06-30,-0.022590226100607808,0.2769590444960077,0.24582495894838272,-0.26824595504678167
2016-07-31,-0.11781695986406242,0.04885345063908684,0.1908998712097274,-0.3453834857643376
2016-08-31,-0.047699154347636885,0.23733412320645683,0.19979608255372344,-0.26960670985379553
2016-09-30,-0.1033964718316021,0.22125115068845835,0.1260655746686506,-0.29778184020860243
2016-10-31,-0.10080111604624697,0.18004865382565802,0.11847552447523514,-0.3481661860357068
2016-11-30,-0.12263734524229457,0.12880425321064126,0.08581983194080396,-0.3529943522357694
2016-12-31,-0.1605839281933139,0.15741452153857308,-0.05590256020565628,-0.09687199028257805
2017-01-31,-0.37253445549027886,0.014043794787223979,-0.12803071548409417,-0.03606324949884936
2017-02-28,-0.44567204746296946,0.06407200418565964,-0.15569468201444642,-0.12625622027571978
2017-03-31,-0.38126169907708674,0.0937144984346505,-0.2616798349114093,-0.25081149607486847
2017-04-30,-0.612655367986639,0.17948370691381468,-0.5619503760633894,-0.044538891791433236
2017-05-31,-0.5235299134441387,0.26616449981829077,-0.5420906141609227,0.02966584958232511
2017-06-30,-0.3031719207048099,0.3291156531837073,-0.23272062290052792,0.02927025708758715
2017-07-31,-0.011751994136627314,0.5283677156636164,0.1695316586891718,0.3052018289782031
2017-08-31,-0.10495659785835389,0.4550052969771651,0.14912068049973148,0.3438742121307279
2017-09-30,-0.2875590684444841,0.5187380830648476,-0.08891260766017944,0.22391092446735789
2017-10-31,-0.244761356793898,0.7030158038238022,0.05661253626430007,0.2836611735783397
2017-11-30,-0.2354537080348589,0.6733138524527869,0.05480091783184368,0.330674287760024
2017-12-31,-0.3366714003164893,0.7845695348750461,0.12082337707843659,0.26040610462216895
2018-01-31,-0.2856411044776213,0.8438670636234408,0.11974232973977837,0.22754102018401332
2018-02-28,-0.18524517082712552,0.8581197097105527,0.22669779048100114,0.3633612933655986
2018-03-31,-0.22697382766161298,0.7782071370451716,0.21506607558579213,0.2876850714271103
2018-04-30,-0.17245028015612374,0.810766982962523,0.24950115444596815,0.3686541094471437
2018-05-31,-0.18968650739599024,0.8047351792154567,0.3187694588634978,0.30056341706186707
2018-06-30,-0.3840767263607859,0.6996043642798935,0.13855207373710993,0.34195669697303177
2018-07-31,-0.40130821515554926,0.3860016095761658,-0.13973767493775321,-0.2742998641016161
2018-08-31,-0.35701026446319867,0.3422096949068572,-0.04812462727220802,-0.32041380021204824
2018-09-30,-0.1980594450358975,0.21484547123785175,0.16411931927952172,-0.2772652967956759
2018-10-31,0.01957751856874426,0.42469309991342225,0.5172976103457088,0.08471092547785568
2018-11-30,0.02567526799239796,0.4779012127311413,-0.18133640198520493,-0.15250156710923946
2018-12-31,-0.07700622676249222,0.3246439385578512,-0.2782642463615978,-0.09260616271815496
2019-01-31,-0.09574670797269597,0.19985707296694763,-0.26981469590007945,0.0048124243755662
2019-02-28,-0.035668994601380996,0.24004232182067825,-0.28351400190047316,-0.017383320739510103
2019-03-31,0.06950586230904598,0.28826660561093953,-0.23702283820666256,0.07189697267508256
2019-04-30,0.13053336577515418,0.31956212224099423,-0.20299966117426269,0.03182527231415416
2019-05-31,0.03508650682128329,0.2939636675004603,-0.2553801952358439,0.13616769716275814
2019-06-30,0.057254096740004194,0.35999191317760143,-0.2515252438120383,0.08526147593255087
2019-07-31,0.09885339212522305,0.3306107886830613,-0.2220138239661738,0.2168182909200456
2019-08-31,0.18171850256290822,0.3336211751651121,-0.2225242165075493,0.13939594614095793
2019-09-30,0.2054940083986788,0.3393098032696734,-0.16017059106864556,0.14919074140273458
2019-10-31,0.1477367689284445,0.2883705876714117,-0.4064463729683288,0.03505508311040205
2019-11-30,0.01935597859668813,0.09074818372979347,-0.30675092258483944,0.4024708784320524
