,alpha,beta_pc1,r2
BZ=F,0.0014445386644783651,0.2532900104906512,0.14393240573125776
IOC,0.013971928549331287,0.4976822842232422,0.6791464678184435
ONGC,0.005806664673469318,0.5197542772461536,0.7046205394168426
BPCL,0.016643751753094863,0.5491483047298639,0.7310018969791778
RELIANCE,0.014685592994219919,0.3412449930074105,0.41622995089492554
