,BZ=F,IOC,ONGC,BPCL,RELIANCE
BZ=F,1.0,-0.011517792969319098,0.1702998787318045,0.06952403858309393,0.02436241306537382
IOC,-0.011517792969319098,0.9999999999999999,0.3455578446213962,0.48325632469918817,0.1477377547262604
ONGC,0.1702998787318045,0.3455578446213962,1.0,0.3815146493527376,0.28006481187983856
BPCL,0.06952403858309393,0.48325632469918817,0.38151464935273754,1.0,0.35410033785055683
RELIANCE,0.02436241306537382,0.1477377547262604,0.28006481187983856,0.35410033785055683,1.0
