cause,BPCL,BZ=F,IOC,ONGC,RELIANCE
BPCL,,0.07071917803728259,0.3558829712987195,0.7395947271226494,0.026881710783503734
BZ=F,0.1081784674636549,,0.15545715989155773,0.49000213609925725,0.2543446793118768
IOC,0.7267493024720943,0.0915278837049955,,0.2422923847270212,0.1524928522161675
ONGC,0.43836756850966707,0.14750619628838088,0.07228615214366427,,0.6067327859827152
RELIANCE,0.008780184824082684,0.2947704696199569,0.0009631313212458378,0.2211768053756886,
