,p1,p5,p10,p25,p50,p75,p90,p95,p99
BZ=F,0.15457198017725057,0.17809022814366238,0.18957522391461773,0.24299596483141972,0.3206616690078474,0.379976040579171,0.4582827228489488,0.5295657413450165,0.5891346312479424
IOC,0.19088494251603166,0.20302378315422007,0.2079660261653698,0.22473067998592028,0.2786705865923198,0.32727914772584593,0.35031464946095076,0.3635640581625343,0.3851564365579111
ONGC,0.16742548215232422,0.17575332392535908,0.2181479635690845,0.24333513436215595,0.26892427966355703,0.32798374006844355,0.42240990502130565,0.43099068745955593,0.49672802747048567
BPCL,0.1730874887467308,0.205200315073965,0.22128426330690124,0.24484035205531346,0.29461015293068027,0.36279617567962025,0.4288177282776105,0.4545484440635568,0.4878799520549937
RELIANCE,0.162202934755784,0.1687482402233792,0.1783417217331353,0.20885425415989384,0.24401652429367593,0.29117629467302686,0.3425785261166093,0.4323583325976616,0.45346179934415387
