Date,cond_vol
2014-02-28,9.390689170936136
2014-03-31,9.285752522530942
2014-04-30,9.491334550574818
2014-05-31,9.377611476387528
2014-06-30,9.405663443036415
2014-07-31,9.436550015109047
2014-08-31,9.346131151422016
2014-09-30,9.489985887213212
2014-10-31,9.392576941565075
2014-11-30,9.348067168185379
2014-12-31,9.24353259171479
2015-01-31,9.397285867797446
2015-02-28,9.447306685633833
2015-03-31,9.335823502776888
2015-04-30,9.276145464523934
2015-05-31,9.232841777624241
2015-06-30,9.215377155030925
2015-07-31,9.126520224736598
2015-08-31,9.056959121788331
2015-09-30,8.998020055082574
2015-10-31,8.959864768953677
2015-11-30,8.896939869398546
2015-12-31,8.843691023245519
2016-01-31,8.801043790376598
2016-02-29,8.75817897471187
2016-03-31,8.949325467704808
2016-04-30,9.105853727655719
2016-05-31,9.063024472254764
2016-06-30,8.990277698017444
2016-07-31,8.998612857051503
2016-08-31,8.999333783609991
2016-09-30,8.931576309733927
2016-10-31,8.871382590725004
2016-11-30,8.868475408654087
2016-12-31,8.846024149631141
2017-01-31,8.804667675632347
2017-02-28,8.78712005778116
2017-03-31,8.743608572557923
2017-04-30,8.713308006671461
2017-05-31,8.750110749841726
2017-06-30,8.712671388900208
2017-07-31,8.951782483382818
2017-08-31,8.957683537244474
2017-09-30,8.991013867159008
2017-10-31,9.096769980483488
2017-11-30,9.162975816941056
2017-12-31,9.15459998359881
2018-01-31,9.070672926836073
2018-02-28,9.039562355021186
2018-03-31,9.112181729522376
2018-04-30,9.036665301211471
2018-05-31,9.095672171001624
2018-06-30,9.023315933630556
2018-07-31,9.043492575462627
2018-08-31,8.97751779177451
2018-09-30,8.962392897786874
2018-10-31,8.901187136269288
2018-11-30,9.84220972230568
2018-12-31,9.88153868422013
2019-01-31,9.800554816781649
2019-02-28,9.686535074769635
2019-03-31,9.545119016756976
2019-04-30,9.545090661292942
2019-05-31,9.428147065530503
2019-06-30,9.345183527222984
2019-07-31,9.273093379887436
2019-08-31,9.37443940825487
2019-09-30,9.276944523797262
2019-10-31,9.823063066659797
2019-11-30,9.75161525382302
2019-12-31,9.622423958904129
2020-01-31,9.517445557825472
2020-02-29,9.469471887180593
2020-03-31,9.420863381988942
2020-04-30,9.931043076715245
2020-05-31,9.934410570434794
2020-06-30,9.845525651823188
2020-07-31,9.731726069166783
2020-08-31,9.650055810397227
2020-09-30,9.521291515545036
2020-10-31,9.638515971949156
2020-11-30,9.50323422999942
2020-12-31,9.391517765127215
2021-01-31,9.281077463781108
2021-02-28,9.183443887978342
2021-03-31,9.409591930747595
2021-04-30,9.326075264691328
2021-05-31,9.232048224187482
2021-06-30,9.226310350580764
2021-07-31,9.139796827136886
2021-08-31,9.099697676106207
2021-09-30,9.036473092133546
2021-10-31,8.969177921931275
2021-11-30,8.930792624280938
2021-12-31,9.02932930017762
2022-01-31,8.96384402950521
2022-02-28,8.901610220303292
2022-03-31,9.01321821137917
2022-04-30,8.944876078723953
2022-05-31,8.883840200141654
2022-06-30,8.979019149081928
2022-07-31,8.966543187489261
2022-08-31,8.928782942843537
2022-09-30,8.869113688871352
2022-10-31,8.901238530590778
2022-11-30,8.848794338916312
2022-12-31,8.896646182349588
2023-01-31,8.864164373316976
2023-02-28,8.815869601384103
2023-03-31,8.860311254352846
2023-04-30,8.849718378761741
2023-05-31,8.803079429615384
2023-06-30,8.757360922931008
2023-07-31,8.718758672710875
2023-08-31,8.685720918910674
2023-09-30,8.77401074612282
2023-10-31,8.731589023885876
2023-11-30,8.694907248003458
2023-12-31,9.077021516882084
2024-01-31,9.039360365518851
2024-02-29,9.049436271410528
2024-03-31,9.246776640616888
2024-04-30,9.155467695911598
2024-05-31,9.071234718320921
2024-06-30,8.998032144206631
2024-07-31,8.954457300770384
2024-08-31,9.043733405760982
2024-09-30,8.98376720334607
2024-10-31,8.920518497526743
2024-11-30,9.220304367389586
2024-12-31,9.18846283213686
