,aic,bic,mu,omega,alpha[1],beta[1],nu
BZ=F,957.826885801337,972.2028724173427,-0.04772570806879689,12.944688622951864,0.4281243521638611,0.4898129391817209,329.06532396101386
IOC,943.9367175358714,958.3127041518771,1.1138233709241263,12.466451285706471,4.966431796372805e-13,0.830175488465336,8.492431219979697
ONGC,952.1539918444589,966.5299784604647,0.6934995265576132,6.469063746858989,0.048697763715594825,0.8710362148231158,139.35090584709656
BPCL,960.954258148519,975.3302447645248,1.708007149159555,8.336723107137276,0.017696069524220204,0.8820602055103431,8.794952449122666
RELIANCE,910.100384736954,924.4763713529597,1.2900301715018767,10.900589915679399,0.058300993656449265,0.7494158171675426,17.559631895754073
