Date,BZ=F,IOC,ONGC,BPCL,RELIANCE
2014-01-31,106.4000015258789,21.129194259643555,106.04960632324219,32.019737243652344,176.11819458007812
2014-02-28,109.06999969482422,21.387554168701172,112.13046264648438,33.37043762207031,169.5070343017578
2014-03-31,107.76000213623047,24.255294799804688,124.28028106689453,40.61394500732422,197.22314453125
2014-04-30,108.06999969482422,22.687942504882812,126.7760009765625,40.15930938720703,198.2932586669922
2014-05-31,109.41000366210938,31.011302947998047,147.46339416503906,46.07416915893555,227.83290100097656
2014-06-30,112.36000061035156,29.67645835876465,165.67453002929688,53.0042610168457,217.2832794189453
2014-07-31,106.0199966430664,28.526782989501953,154.17071533203125,51.21657180786133,215.36807250976562
2014-08-31,103.19000244140625,31.753021240234375,169.6326446533203,61.29389953613281,213.70965576171875
2014-09-30,94.66999816894531,32.01807403564453,159.40762329101562,59.29831314086914,202.36831665039062
2014-10-31,85.86000061035156,32.17268753051758,158.08102416992188,65.57286071777344,214.1055450439453
2014-11-30,70.1500015258789,32.24336242675781,148.033935546875,67.51812744140625,212.1903839111328
2014-12-31,57.33000183105469,29.354312896728516,135.15756225585938,58.44783401489258,190.69525146484375
2015-01-31,52.9900016784668,30.683990478515625,139.11705017089844,67.75334930419922,195.8523712158203
2015-02-28,62.58000183105469,29.478008270263672,128.58477783203125,67.33716583251953,183.07730102539062
2015-03-31,55.11000061035156,32.570255279541016,122.86244201660156,73.35836791992188,176.7539825439453
2015-04-30,66.77999877929688,31.91205596923828,121.91996765136719,69.19193267822266,184.53240966796875
2015-05-31,65.55999755859375,31.47030258178711,132.28717041015625,76.91864013671875,190.03179931640625
2015-06-30,63.59000015258789,34.05012512207031,124.16586303710938,79.56055450439453,216.70558166503906
2015-07-31,52.209999084472656,38.10981750488281,109.36702728271484,83.84912109375,217.0847930908203
2015-08-31,54.150001525878906,36.61669158935547,95.97187042236328,82.0051040649414,185.4597625732422
2015-09-30,48.369998931884766,36.130943298339844,92.18576049804688,78.98748779296875,186.84652709960938
2015-10-31,49.560001373291016,35.910850524902344,99.25994873046875,80.88163757324219,205.35134887695312
2015-11-30,44.61000061035156,37.7748908996582,95.84514617919922,83.72748565673828,209.5550537109375
2015-12-31,37.279998779296875,38.4980583190918,98.95606994628906,82.85002136230469,219.84750366210938
2016-01-31,34.7400016784668,36.13991928100586,92.61141204833984,82.928955078125,224.3545379638672
2016-02-29,35.970001220703125,33.51433181762695,79.45138549804688,72.453857421875,209.45751953125
2016-03-31,39.599998474121094,35.8798828125,87.95609283447266,85.55457305908203,229.0279998779297
2016-04-30,48.130001068115234,39.49430465698242,89.25018310546875,92.52723693847656,215.33277893066406
2016-05-31,49.689998626708984,37.930946350097656,86.5798568725586,92.76376342773438,209.8875274658203
2016-06-30,49.68000030517578,40.20079040527344,88.85989379882812,102.9599838256836,212.36363220214844
2016-07-31,42.459999084472656,49.62655258178711,90.4209976196289,113.82592010498047,222.38856506347656
2016-08-31,47.040000915527344,52.45245361328125,98.39935302734375,115.73693084716797,232.27101135253906
2016-09-30,49.060001373291016,53.89548873901367,106.87348937988281,117.65756225585938,237.46424865722656
2016-10-31,48.29999923706055,59.86332321166992,119.47007751464844,128.49951171875,231.16441345214844
2016-11-30,50.470001220703125,56.754493713378906,122.28775024414062,123.67872619628906,216.94329833984375
2016-12-31,56.130001068115234,60.150146484375,121.49407196044922,122.05580139160156,237.1793670654297
2017-01-31,55.70000076293945,67.80191802978516,128.60533142089844,130.91946411132812,229.0279998779297
2017-02-28,55.59000015258789,73.76956176757812,124.29630279541016,132.33799743652344,271.2859802246094
2017-03-31,52.83000183105469,75.04898834228516,118.80558013916016,130.7435302734375,289.44036865234375
2017-04-30,51.72999954223633,85.32569122314453,119.80096435546875,144.70611572265625,305.72125244140625
2017-05-31,50.310001373291016,83.27034759521484,113.66799926757812,149.41395568847656,293.7790222167969
2017-06-30,47.91999816894531,74.69027709960938,101.016845703125,128.82069396972656,302.39056396484375
2017-07-31,52.650001525878906,71.28733825683594,108.78731536865234,142.3847198486328,356.7419738769531
2017-08-31,52.380001068115234,88.3736343383789,100.79205322265625,159.86740112304688,352.1700744628906
2017-09-30,57.540000915527344,77.83955383300781,110.3089599609375,142.4300537109375,344.94775390625
2017-10-31,61.369998931884766,80.75489044189453,123.31116485595703,163.6751708984375,415.6026611328125
2017-11-30,63.56999969482422,76.47905731201172,118.45838928222656,152.26687622070312,407.0772399902344
2017-12-31,66.5999984741211,75.51699829101562,127.99931335449219,156.45245361328125,406.8563232421875
2018-01-31,69.05000305175781,81.16301727294922,133.40911865234375,148.7763671875,424.6360168457031
2018-02-28,65.77999877929688,77.35021209716797,123.47476959228516,134.00479125976562,421.6543273925781
2018-03-31,70.2699966430664,72.02765655517578,118.03406524658203,133.3496551513672,389.9159851074219
2018-04-30,75.16999816894531,66.19529724121094,119.85966491699219,120.83983612060547,425.51953125
2018-05-31,77.58999633789062,71.00801849365234,118.10047912597656,126.01846313476562,406.98883056640625
2018-06-30,79.44000244140625,63.62580108642578,105.15522003173828,116.45671844482422,432.43280029296875
2018-07-31,74.25,67.03141021728516,110.00135040283203,121.58855438232422,527.39501953125
2018-08-31,77.41999816894531,64.24761199951172,119.52777099609375,115.18170928955078,552.1417846679688
2018-09-30,82.72000122070312,63.33894348144531,118.55614471435547,119.01473236083984,559.3900146484375
2018-10-31,75.47000122070312,57.184722900390625,102.53231811523438,87.50756072998047,471.9207458496094
2018-11-30,58.709999084472656,55.594539642333984,93.86808013916016,103.18955993652344,519.190673828125
