,Annualized_Volatility,Monthly_Volatility,mean_vol,median_vol,std_vol,min_vol,max_vol,q25_vol,q75_vol,skewness_vol,kurtosis_vol,cv_vol
BZ=F,0.333321788796879,0.09622171224432284,0.3223006233959224,0.3206616690078474,0.10673576361252546,0.1405435417724513,0.5953745516131963,0.24299596483141972,0.379976040579171,0.5056860629673348,-0.26889218767524836,0.33116834366593356
IOC,0.30150560668241244,0.08703717159013613,0.2785209866365992,0.2786705865923198,0.05628907747077309,0.1857668425554851,0.43641876791708295,0.22473067998592028,0.32727914772584593,0.22625616251601935,-0.9559857238727569,0.20209994999126
ONGC,0.3091329916092394,0.08923900796049435,0.2918094160133707,0.26892427966355703,0.07560371245824862,0.16209978375740133,0.5070585431673776,0.24333513436215595,0.32798374006844355,0.8170309377897741,0.25175050929609144,0.2590859249544726
BPCL,0.3206677830556686,0.0925688154338154,0.3089584373764139,0.29461015293068027,0.07981580778555511,0.16925896060308407,0.5251600855284987,0.24484035205531346,0.36279617567962025,0.5952271901084831,-0.31450420350593244,0.2583383333477732
RELIANCE,0.264073339718087,0.07623140688602051,0.25991932587467564,0.24401652429367593,0.07319709783182331,0.16044499473928828,0.4544726954769286,0.20885425415989384,0.29117629467302686,1.096053454334269,0.8340779172343256,0.2816146801916395
