Date,cond_vol
2014-02-28,9.398341918698915
2014-03-31,9.262552648050855
2014-04-30,9.148292681748798
2014-05-31,9.052341304812696
2014-06-30,8.971905295975526
2014-07-31,8.904577333919542
2014-08-31,8.848294126576292
2014-09-30,8.801295763223349
2014-10-31,8.762087366466154
2014-11-30,8.72940373292782
2014-12-31,8.702177328438363
2015-01-31,8.679509753963194
2015-02-28,8.660646618859833
2015-03-31,8.644955638696695
2015-04-30,8.63190770324588
2015-05-31,8.621060624850083
2015-06-30,8.612045267336915
2015-07-31,8.604553762715936
2015-08-31,8.598329540638513
2015-09-30,8.59315891911724
2015-10-31,8.588864031135234
2015-11-30,8.585296888178238
2015-12-31,8.58233440719521
2016-01-31,8.579874251022787
2016-02-29,8.577831353652856
2016-03-31,8.576135020644507
2016-04-30,8.574726511621465
2016-05-31,8.573557026167732
2016-06-30,8.572586026806427
2016-07-31,8.571779843377016
2016-08-31,8.571110512060192
2016-09-30,8.57055480988578
2016-10-31,8.570093452187642
2016-11-30,8.569710425469012
2016-12-31,8.569392433068517
2017-01-31,8.569128434606972
2017-02-28,8.568909263379103
2017-03-31,8.568727308537321
2017-04-30,8.568576251150834
2017-05-31,8.568450844992103
2017-06-30,8.568346734475053
2017-07-31,8.568260303518493
2017-08-31,8.56818854999137
2017-09-30,8.568128981526513
2017-10-31,8.568079528925983
2017-11-30,8.568038474367011
2017-12-31,8.568004391730076
2018-01-31,8.567976097056233
2018-02-28,8.567952607441482
2018-03-31,8.5679331068901
2018-04-30,8.567916917977566
2018-05-31,8.567903478316637
2018-06-30,8.567892321021908
2018-07-31,8.567883058501494
2018-08-31,8.567875368972729
2018-09-30,8.56786898530953
2018-10-31,8.567863685744559
2018-11-30,8.567859286176667
2018-12-31,8.567855633758251
2019-01-31,8.567852601609212
2019-02-28,8.5678500843918
2019-03-31,8.567847994659557
2019-04-30,8.567846259817472
2019-05-31,8.56784481959077
2019-06-30,8.56784362394975
2019-07-31,8.567842631358868
2019-08-31,8.567841807337127
2019-09-30,8.567841123255027
2019-10-31,8.567840555350552
2019-11-30,8.567840083881409
2019-12-31,8.567839692483508
2020-01-31,8.56783936755117
2020-02-29,8.567839097803034
2020-03-31,8.567838873862991
2020-04-30,8.56783868796578
2020-05-31,8.567838533624332
2020-06-30,8.567838405493886
2020-07-31,8.567838299123032
2020-08-31,8.567838210816673
2020-09-30,8.567838137507223
2020-10-31,8.567838076654473
2020-11-30,8.567838026129685
2020-12-31,8.567837984184846
2021-01-31,8.56783794936362
2021-02-28,8.56783792045486
2021-03-31,8.567837896459215
2021-04-30,8.56783787653547
2021-05-31,8.567837859994802
2021-06-30,8.567837846271706
2021-07-31,8.567837834870586
2021-08-31,8.567837825406407
2021-09-30,8.567837817550204
2021-10-31,8.567837811030133
2021-11-30,8.567837805613761
2021-12-31,8.567837801117852
2022-01-31,8.567837797386467
2022-02-28,8.567837794290277
2022-03-31,8.567837791717853
2022-04-30,8.5678377895813
2022-05-31,8.567837787808065
2022-06-30,8.567837786337893
2022-07-31,8.567837785115621
2022-08-31,8.567837784100382
2022-09-30,8.567837783257316
2022-10-31,8.567837782559137
2022-11-30,8.567837781977829
2022-12-31,8.567837781498415
2023-01-31,8.567837781097277
2023-02-28,8.567837780765094
2023-03-31,8.567837780490457
2023-04-30,8.567837780260492
2023-05-31,8.567837780069844
2023-06-30,8.567837779913573
2023-07-31,8.56783777978153
2023-08-31,8.56783777967253
2023-09-30,8.567837779582536
2023-10-31,8.567837779506736
2023-11-30,8.567837779443964
2023-12-31,8.567837779411029
2024-01-31,8.567837779369928
2024-02-29,8.56783777933388
2024-03-31,8.567837779303666
2024-04-30,8.5678377792752
2024-05-31,8.567837779251574
2024-06-30,8.56783777923268
2024-07-31,8.567837779216289
2024-08-31,8.567837779206993
2024-09-30,8.567837779195347
2024-10-31,8.56783777918529
2024-11-30,8.567837779194287
2024-12-31,8.567837779184847
