,acf_lag1,acf_lag3,acf_lag6,acf_lag12
BZ=F,0.1433695791289425,0.1203111228516554,0.03425349596157701,0.06111446346527331
IOC,-0.05020069807847733,0.010286935705910594,0.04091584525527558,-0.032395125925038626
ONGC,0.08335972691702724,-0.00413994878911741,0.12999956810542096,0.06166994375347686
BPCL,0.016141027562734833,-0.00037965711627584446,0.11318139665048833,0.07731068451911582
RELIANCE,0.04660545911210205,0.28985972909994345,0.0179344627254801,0.0166451600863172
